REFERENCE_DOCUMENT,PAYMENT_NUMBER,COSTCENTER,EFFECTIVE_DATE,AMOUNT,ACCOUNT_NUMBER,CURRISO,VAT,CREATED_DATE,PAYMENT_STATUS,PAYMENT_DIR,ZZNUM_TRANSACTION,ZZPAYMENT_TYPE_METHOD,ITEM_TEXT
1099526562648,30954-4956-2,15,2023-02-13,500.0,,CHF,,2023-02-13,Processed,Credit,,Cash,CASH_INIT
1099526562649,24648-13453-2,16,2023-02-13,600.0,,CHF,,2023-02-13,Processed,Credit,,Cash,CASH_INIT
1099526562650,30954-4957-3,15,2023-02-13,8.0,,CHF,7.7,2023-02-13,Processed,Credit,,Cash,2 Kaffee
1099526562651,30954-4958-4,15,2023-02-13,2.5,,CHF,7.7,2023-02-13,Processed,Credit,1515-84000000,Cashless Prepaid,1 PET Flasche
1099526562652,30954-4959-4,15,2023-02-13,2.5,,CHF,7.7,2023-02-13,Processed,Credit,1573-164000000,Cashless Prepaid,1 Kaffee
1099526562653,30954-4960-3,15,2023-02-13,4.0,,CHF,7.7,2023-02-13,Processed,Credit,,Cash,2 Gipfel
1099526562654,30954-4961-3,15,2023-02-13,8.0,,CHF,7.7,2023-02-13,Processed,Credit,,Cash,2 Kaffee
1099526562657,30954-4964-4,15,2023-02-13,18.5,,CHF,7.7,2023-02-13,Processed,Credit,1558-89000000,Cashless Prepaid,"1 Kaffee, 1 Tagesteller ( Stammgäste ) "
1099526562658,30954-4965-4,15,2023-02-13,18.5,,CHF,7.7,2023-02-13,Processed,Credit,1557-114000000,Cashless Prepaid,"1 Tagesteller ( Stammgäste ) , 1 Kaffee"
1099526562659,24648-13454-3,16,2023-02-13,4.0,,CHF,7.7,2023-02-13,Processed,Credit,,Cash,1 Kaffee
1099526562663,30954-4969-4,15,2023-02-13,2.5,,CHF,7.7,2023-02-13,Processed,Credit,1504-230000000,Cashless Prepaid,1 Kaffee
1099526562667,30954-4973-3,15,2023-02-13,4.0,,CHF,7.7,2023-02-13,Processed,Credit,,Cash,2 Gipfel
1099526562668,30954-4974-4,15,2023-02-13,17.5,,CHF,7.7,2023-02-13,Processed,Credit,1526-793000000,Cashless Prepaid,"1 Kaffee, 1 Mittagscombo"
1099526562669,24648-13455-4,16,2023-02-13,2.5,,CHF,7.7,2023-02-13,Processed,Credit,1605-24000000,Cashless Prepaid,1 Kaffee
1099526562670,24648-13456-4,16,2023-02-13,11.5,,CHF,7.7,2023-02-13,Processed,Credit,1606-54000000,Cashless Prepaid,"1 Snack II, 1 Personal Getränke, 2 PET Flasche,..."
1099526562671,24648-13457-4,16,2023-02-13,4.5,,CHF,7.7,2023-02-13,Processed,Credit,1590-112000000,Cashless Prepaid,"1 Snack II, 1 Cappuccino"
1099526562672,24648-13458-2,16,2023-02-13,100.0,,CHF,,2023-02-13,Processed,Credit,73261492540,Credit/Debit,LOAD ENCASH
1099526562672,24648-13458-3,16,2023-02-13,100.0,,CHF,,2023-02-13,Processed,Debit,1590-113000000,Cashless Prepaid,LOAD LOAD
1099526562673,30954-4975-4,15,2023-02-13,2.5,,CHF,7.7,2023-02-13,Processed,Credit,1530-552000000,Cashless Prepaid,1 Kaffee
1099526562674,30954-4976-4,15,2023-02-13,2.5,,CHF,7.7,2023-02-13,Processed,Credit,1505-456000000,Cashless Prepaid,1 Kaffee
1099526562675,30954-4977-4,15,2023-02-13,2.5,,CHF,7.7,2023-02-13,Processed,Credit,1507-599000000,Cashless Prepaid,1 Kaffee
1099526562676,30954-4978-4,15,2023-02-13,2.5,,CHF,7.7,2023-02-13,Processed,Credit,1563-636000000,Cashless Prepaid,1 Kaffee
1099526562677,30954-4979-4,15,2023-02-13,2.5,,CHF,7.7,2023-02-13,Processed,Credit,1502-623000000,Cashless Prepaid,1 Kaffee
1099526562678,30954-4980-4,15,2023-02-13,17.5,,CHF,7.7,2023-02-13,Processed,Credit,1503-710000000,Cashless Prepaid,"1 Mittagscombo, 1 Kaffee"
1099526562679,30954-4981-4,15,2023-02-13,17.5,,CHF,7.7,2023-02-13,Processed,Credit,1522-477000000,Cashless Prepaid,"1 Kaffee, 1 Mittagscombo"
1099526562680,30954-4982-4,15,2023-02-13,20.0,,CHF,7.7,2023-02-13,Processed,Credit,1560-685000000,Cashless Prepaid,"1 Butterbrezel, 1 Cappuccino, 1 Mittagscombo"
1099526562681,30954-4983-4,15,2023-02-13,2.5,,CHF,7.7,2023-02-13,Processed,Credit,1573-165000000,Cashless Prepaid,1 Kaffee
1099526562682,30954-4984-4,15,2023-02-13,22.5,,CHF,7.7,2023-02-13,Processed,Credit,1561-469000000,Cashless Prepaid,"1 Mittagscombo, 1 Laugenbrezel Sandwiches, 1 Es..."
1099526562686,30954-4988-4,15,2023-02-13,2.5,,CHF,7.7,2023-02-13,Processed,Credit,1525-296000000,Cashless Prepaid,1 Cappuccino
