REFERENCE_DOCUMENT,PAYMENT_NUMBER,COSTCENTER,EFFECTIVE_DATE,AMOUNT,ACCOUNT_NUMBER,CURRISO,VAT,CREATED_DATE,PAYMENT_STATUS,PAYMENT_DIR,ZZNUM_TRANSACTION,ZZPAYMENT_TYPE_METHOD,ITEM_TEXT
1099526443411,24648-12979-2,16,2023-01-19,600.0,,CHF,,2023-01-19,Processed,Credit,,Cash,CASH_INIT
1099526444228,30954-3680-2,15,2023-01-19,500.0,,CHF,,2023-01-19,Processed,Credit,,Cash,CASH_INIT
1099526444229,30954-3681-4,15,2023-01-19,2.5,,CHF,7.7,2023-01-19,Processed,Credit,1518-454000000,Cashless Prepaid,1 Kaffee
1099526444519,24647-13635-2,18,2023-01-19,600.0,,CHF,,2023-01-19,Processed,Credit,,Cash,CASH_INIT
1099526444520,24647-13636-3,18,2023-01-19,4.0,,CHF,7.7,2023-01-19,Processed,Credit,,Cash,1 Kaffee
1099526444601,24647-13637-3,18,2023-01-19,4.0,,CHF,7.7,2023-01-19,Processed,Credit,,Cash,1 Kaffee
1099526444641,24647-13638-3,18,2023-01-19,4.0,,CHF,7.7,2023-01-19,Processed,Credit,,Cash,1 Kaffee
1099526444668,24647-13639-3,18,2023-01-19,4.0,,CHF,7.7,2023-01-19,Processed,Credit,,Cash,1 Kaffee
1099526444914,24647-13640-3,18,2023-01-19,12.0,,CHF,7.7,2023-01-19,Processed,Credit,,Cash,3 Kaffee
1099526445016,24647-13641-3,18,2023-01-19,2.0,,CHF,7.7,2023-01-19,Processed,Credit,1803-3000000,Cashless Prepaid,1 Gipfel
1099526445280,30954-3682-4,15,2023-01-19,17.5,,CHF,7.7,2023-01-19,Processed,Credit,1503-693000000,Cashless Prepaid,"1 Mittagscombo, 1 Kaffee"
1099526445284,30954-3683-2,15,2023-01-19,200.0,,CHF,,2023-01-19,Processed,Credit,92271931830,Credit/Debit,LOAD ENCASH
