REFERENCE_DOCUMENT,PAYMENT_NUMBER,COSTCENTER,EFFECTIVE_DATE,AMOUNT,ACCOUNT_NUMBER,CURRISO,VAT,CREATED_DATE,PAYMENT_STATUS,PAYMENT_DIR,ZZNUM_TRANSACTION,ZZPAYMENT_TYPE_METHOD,ITEM_TEXT
1099526311695,24648-12811-2,16,2023-01-09,600.0,,CHF,,2023-01-09,Processed,Credit,,Cash,CASH_INIT
1099526311713,30954-3190-2,15,2023-01-09,500.0,,CHF,,2023-01-09,Processed,Credit,,Cash,CASH_INIT
1099526311734,30954-3191-4,15,2023-01-09,2.5,,CHF,7.7,2023-01-09,Processed,Credit,1515-78000000,Cashless Prepaid,1 PET Flasche
1099526311746,24647-13502-2,18,2023-01-09,600.0,,CHF,,2023-01-09,Processed,Credit,,Cash,CASH_INIT
1099526311911,30954-3192-4,15,2023-01-09,20.0,,CHF,7.7,2023-01-09,Processed,Credit,1554-25000000,Cashless Prepaid,"1 Mittagscombo, 2 Kaffee"
1099526311923,30954-3193-4,15,2023-01-09,22.5,,CHF,7.7,2023-01-09,Processed,Credit,1556-158000000,Cashless Prepaid,"1 Mittagscombo, 3 Kaffee"
1099526312026,24648-12812-3,16,2023-01-09,6.0,,CHF,7.7,2023-01-09,Processed,Credit,,Cash,"1 Kaffee, 1 Snack II"
1099526312048,24648-12813-3,16,2023-01-09,6.0,,CHF,7.7,2023-01-09,Processed,Credit,12586988520,Credit/Debit,"1 Snack II, 1 Kaffee"
1099526312054,24648-12814-3,16,2023-01-09,6.0,,CHF,7.7,2023-01-09,Processed,Credit,27876519420,Credit/Debit,"1 Kaffee, 1 Snack II"
1099526312063,24648-12815-3,16,2023-01-09,4.0,,CHF,7.7,2023-01-09,Processed,Credit,,Cash,1 Kaffee
1099526312073,24648-12816-3,16,2023-01-09,6.0,,CHF,7.7,2023-01-09,Processed,Credit,22080264100,Credit/Debit,"1 Kaffee, 1 Snack II"
1099526312078,24648-12817-3,16,2023-01-09,2.0,,CHF,7.7,2023-01-09,Processed,Credit,,Cash,1 Snack II
1099526312142,24648-12818-3,16,2023-01-09,6.0,,CHF,7.7,2023-01-09,Processed,Credit,88155392399,Credit/Debit,"1 Schokolade/Ovi, 1 Snack II"
1099526312150,24648-12819-3,16,2023-01-09,4.0,,CHF,7.7,2023-01-09,Processed,Credit,,Cash,1 Kaffee
1099526312351,30954-3195-4,15,2023-01-09,15.0,,CHF,7.7,2023-01-09,Processed,Credit,1538-116000000,Cashless Prepaid,1 Mittagscombo
1099526312400,30954-3196-4,15,2023-01-09,5.0,,CHF,7.7,2023-01-09,Processed,Credit,1654-4000000,Cashless Prepaid,2 Kaffee
1099526312513,30954-3197-4,15,2023-01-09,7.5,,CHF,7.7,2023-01-09,Processed,Credit,1519-237000000,Cashless Prepaid,"1 Laugenbrezel Sandwiches, 1 Kaffee"
1099526312522,30954-3198-2,15,2023-01-09,200.0,,CHF,,2023-01-09,Processed,Credit,29140492399,Credit/Debit,LOAD ENCASH
1099526312522,30954-3198-3,15,2023-01-09,200.0,,CHF,,2023-01-09,Processed,Debit,1502-598000000,Cashless Prepaid,LOAD LOAD
1099526312523,30954-3199-4,15,2023-01-09,2.5,,CHF,7.7,2023-01-09,Processed,Credit,1502-599000000,Cashless Prepaid,1 Kaffee
1099526312526,30954-3200-4,15,2023-01-09,19.5,,CHF,7.7,2023-01-09,Processed,Credit,1560-669000000,Cashless Prepaid,"1 Kaffee, 1 Mittagscombo, 1 Gipfel"
1099526312529,30954-3201-4,15,2023-01-09,17.5,,CHF,7.7,2023-01-09,Processed,Credit,1563-601000000,Cashless Prepaid,"1 Mittagscombo, 1 Kaffee"
1099526312530,30954-3202-4,15,2023-01-09,17.5,,CHF,7.7,2023-01-09,Processed,Credit,1526-770000000,Cashless Prepaid,"1 Mittagscombo, 1 Kaffee"
1099526312540,30954-3205-2,15,2023-01-09,50.0,,CHF,,2023-01-09,Processed,Credit,5605888661,Credit/Debit,LOAD ENCASH
1099526312540,30954-3205-3,15,2023-01-09,50.0,,CHF,,2023-01-09,Processed,Debit,1536-141000000,Cashless Prepaid,LOAD LOAD
1099526312542,30954-3206-4,15,2023-01-09,2.5,,CHF,7.7,2023-01-09,Processed,Credit,1536-142000000,Cashless Prepaid,1 Kaffee
1099526312544,30954-3207-4,15,2023-01-09,2.5,,CHF,7.7,2023-01-09,Processed,Credit,1505-434000000,Cashless Prepaid,1 Kaffee
1099526312548,30954-3208-4,15,2023-01-09,2.5,,CHF,7.7,2023-01-09,Processed,Credit,1507-584000000,Cashless Prepaid,1 Kaffee
1099526312550,30954-3209-4,15,2023-01-09,15.0,,CHF,7.7,2023-01-09,Processed,Credit,1504-205000000,Cashless Prepaid,1 Mittagscombo
1099526312554,30954-3212-4,15,2023-01-09,17.5,,CHF,7.7,2023-01-09,Processed,Credit,1576-488000000,Cashless Prepaid,"1 Kaffee, 1 Mittagscombo"
1099526312567,24647-13503-4,18,2023-01-09,5.0,,CHF,7.7,2023-01-09,Processed,Credit,1633-159000000,Cashless Prepaid,2 Kaffee
1099526312568,30954-3213-4,15,2023-01-09,2.5,,CHF,7.7,2023-01-09,Processed,Credit,1525-268000000,Cashless Prepaid,1 Kaffee
1099526312571,30954-3214-4,15,2023-01-09,17.5,,CHF,7.7,2023-01-09,Processed,Credit,1529-163000000,Cashless Prepaid,"1 Kaffee, 1 Mittagscombo"
1099526312584,30954-3216-2,15,2023-01-09,200.0,,CHF,,2023-01-09,Processed,Credit,87621492399,Credit/Debit,LOAD ENCASH
1099526312584,30954-3216-3,15,2023-01-09,200.0,,CHF,,2023-01-09,Processed,Debit,1522-449000000,Cashless Prepaid,LOAD LOAD
1099526312586,30954-3217-4,15,2023-01-09,19.5,,CHF,7.7,2023-01-09,Processed,Credit,1522-450000000,Cashless Prepaid,"1 Kaffee, 1 Mittagscombo, 1 Gipfel"
1099526312588,30954-3218-4,15,2023-01-09,5.0,,CHF,7.7,2023-01-09,Processed,Credit,1573-136000000,Cashless Prepaid,2 Kaffee
1099526312649,24647-13504-4,18,2023-01-09,15.0,,CHF,7.7,2023-01-09,Processed,Credit,1608-293000000,Cashless Prepaid,1 Mittagscombo
1099526312652,24647-13505-4,18,2023-01-09,17.0,,CHF,7.7,2023-01-09,Processed,Credit,1611-367000000,Cashless Prepaid,"1 Gipfel, 1 Mittagscombo"
1099526312657,24647-13506-2,18,2023-01-09,50.0,,CHF,,2023-01-09,Processed,Credit,5605911131,Credit/Debit,LOAD ENCASH
1099526312657,24647-13506-3,18,2023-01-09,50.0,,CHF,,2023-01-09,Processed,Debit,1614-226000000,Cashless Prepaid,LOAD LOAD
1099526312670,24648-12820-3,16,2023-01-09,4.5,,CHF,7.7,2023-01-09,Processed,Credit,51883965620,Credit/Debit,"1 Snack II, 1 Personal Getränke"
1099526312673,24648-12821-3,16,2023-01-09,4.5,,CHF,7.7,2023-01-09,Processed,Credit,1606-44000000,Cashless Prepaid,"1 Gipfel, 1 Personal Getränke"
1099526312675,24648-12822-4,16,2023-01-09,2.5,,CHF,7.7,2023-01-09,Processed,Credit,1605-16000000,Cashless Prepaid,1 Kaffee
1099526312677,24648-12823-3,16,2023-01-09,4.5,,CHF,7.7,2023-01-09,Processed,Credit,1588-254000000,Cashless Prepaid,"1 Personal Getränke, 1 Snack II"
1099526312829,30954-3219-3,15,2023-01-09,4.0,,CHF,7.7,2023-01-09,Processed,Credit,52423396200,Credit/Debit,1 Kaffee
1099526312830,24648-12824-3,16,2023-01-09,29.0,,CHF,7.7,2023-01-09,Processed,Credit,,Cash,"4 Kaffee, 4 Snack II, 1 Flaschen Bier "
1099526312831,30954-3220-3,15,2023-01-09,4.0,,CHF,7.7,2023-01-09,Processed,Credit,71991094320,Credit/Debit,1 PET Flasche
1099526312832,30954-3221-3,15,2023-01-09,4.0,,CHF,7.7,2023-01-09,Processed,Credit,5605969083,Credit/Debit,1 PET Flasche
1099526312833,30954-3222-3,15,2023-01-09,6.0,,CHF,7.7,2023-01-09,Processed,Credit,19516492399,Credit/Debit,"1 Gipfel, 1 Kaffee"
1099526312834,30954-3223-3,15,2023-01-09,2.0,,CHF,7.7,2023-01-09,Processed,Credit,1654-5000000,Cashless Prepaid,1 Snack II
1099526312835,24648-12825-3,16,2023-01-09,4.0,,CHF,7.7,2023-01-09,Processed,Credit,5605976518,Credit/Debit,1 Kaffee
1099526312836,24648-12826-3,16,2023-01-09,4.0,,CHF,7.7,2023-01-09,Processed,Credit,67369403100,Credit/Debit,1 Tee
1099526312837,24648-12827-3,16,2023-01-09,4.0,,CHF,7.7,2023-01-09,Processed,Credit,5605977962,Credit/Debit,1 Kaffee
1099526312838,24648-12828-3,16,2023-01-09,4.0,,CHF,7.7,2023-01-09,Processed,Credit,5605978381,Credit/Debit,1 Kaffee
1099526312845,24647-13507-3,18,2023-01-09,3.0,,CHF,7.7,2023-01-09,Processed,Credit,,Cash,"1 Frucht , 1 Gipfel"
1099526312846,24647-13508-3,18,2023-01-09,6.0,,CHF,7.7,2023-01-09,Processed,Credit,62272094320,Credit/Debit,"1 Gipfel, 1 0.25dl Red Bull"
