REFERENCE_DOCUMENT,PAYMENT_NUMBER,COSTCENTER,EFFECTIVE_DATE,AMOUNT,ACCOUNT_NUMBER,CURRISO,VAT,CREATED_DATE,PAYMENT_STATUS,PAYMENT_DIR,ZZNUM_TRANSACTION,ZZPAYMENT_TYPE_METHOD,ITEM_TEXT
1099526134061,24648-12463-2,16,2022-12-10,600.0,,CHF,,2022-12-10,Processed,Credit,,Cash,CASH_INIT
1099526134062,24647-13174-2,18,2022-12-10,600.0,,CHF,,2022-12-10,Processed,Credit,,Cash,CASH_INIT
1099526134063,24647-13175-3,18,2022-12-10,4.0,,CHF,7.7,2022-12-10,Processed,Credit,,Cash,1 Kaffee
1099526134064,24647-13176-4,18,2022-12-10,45.0,,CHF,7.7,2022-12-10,Processed,Credit,1631-33000000,Cashless Prepaid,3 Mittagscombo
1099526134069,24648-12464-3,16,2022-12-10,4.0,,CHF,7.7,2022-12-10,Processed,Credit,11820717220,Credit/Debit,1 Kaffee
1099526134070,24647-13177-3,18,2022-12-10,5.0,,CHF,7.7,2022-12-10,Processed,Credit,,Cash,2 Personal Kaffee
1099526134071,30954-2273-2,15,2022-12-10,500.0,,CHF,,2022-12-10,Processed,Credit,,Cash,CASH_INIT
1099526134096,24647-13178-3,18,2022-12-10,4.0,,CHF,7.7,2022-12-10,Processed,Credit,48119532910,Credit/Debit,1 PET Flasche
1099526134103,24647-13179-3,18,2022-12-10,8.0,,CHF,7.7,2022-12-10,Processed,Credit,20323422120,Credit/Debit,"1 Schokolade/Ovi, 2 Gipfel"
1099526134117,30954-2275-4,15,2022-12-10,10.0,,CHF,7.7,2022-12-10,Processed,Credit,1517-48000000,Cashless Prepaid,4 Kaffee
1099526134155,24647-13180-3,18,2022-12-10,2.0,,CHF,7.7,2022-12-10,Processed,Credit,30585301399,Credit/Debit,1 Gipfel
1099526134157,24647-13181-3,18,2022-12-10,6.0,,CHF,7.7,2022-12-10,Processed,Credit,,Cash,"1 Gipfel, 1 Espresso"
1099526134158,24647-13182-3,18,2022-12-10,2.0,,CHF,7.7,2022-12-10,Processed,Credit,,Cash,1 Gipfel
1099526134160,24647-13183-3,18,2022-12-10,2.0,,CHF,7.7,2022-12-10,Processed,Credit,,Cash,1 Gipfel
1099526134161,24647-13184-3,18,2022-12-10,6.0,,CHF,7.7,2022-12-10,Processed,Credit,,Cash,"1 Gipfel, 1 Kaffee"
1099526134164,24647-13185-3,18,2022-12-10,6.0,,CHF,7.7,2022-12-10,Processed,Credit,12418476220,Credit/Debit,"1 Kaffee, 1 Gipfel"
1099526134165,24648-12465-3,16,2022-12-10,4.0,,CHF,7.7,2022-12-10,Processed,Credit,55852162320,Credit/Debit,1 PET Flasche
1099526134166,24648-12466-3,16,2022-12-10,4.0,,CHF,7.7,2022-12-10,Processed,Credit,,Cash,1 0.25dl Red Bull
1099526134168,24648-12467-4,16,2022-12-10,20.0,,CHF,7.7,2022-12-10,Processed,Credit,1589-277000000,Cashless Prepaid,"1 Mittagscombo, 2 Kaffee"
1099526134169,24648-12468-3,16,2022-12-10,4.0,,CHF,7.7,2022-12-10,Processed,Credit,,Cash,1 0.25dl Red Bull
1099526134171,24648-12469-3,16,2022-12-10,4.0,,CHF,7.7,2022-12-10,Processed,Credit,38136567910,Credit/Debit,1 PET Flasche
1099526134292,24647-13186-3,18,2022-12-10,2.0,,CHF,7.7,2022-12-10,Processed,Credit,,Cash,1 Gipfel
1099526134293,24647-13187-3,18,2022-12-10,6.0,,CHF,7.7,2022-12-10,Processed,Credit,65057567910,Credit/Debit,"1 Gipfel, 1 Kaffee"
1099526134294,24647-13188-3,18,2022-12-10,2.0,,CHF,7.7,2022-12-10,Processed,Credit,,Cash,1 Snack II
1099526134297,24647-13189-3,18,2022-12-10,2.0,,CHF,7.7,2022-12-10,Processed,Credit,,Cash,1 Snack II
1099526134298,24647-13190-3,18,2022-12-10,4.0,,CHF,7.7,2022-12-10,Processed,Credit,,Cash,2 Snack II
1099526134301,24647-13191-3,18,2022-12-10,7.5,,CHF,7.7,2022-12-10,Processed,Credit,25656717220,Credit/Debit,"1 Gipfel, 1 Snack, 1 Snack II"
1099526134311,24647-13192-3,18,2022-12-10,2.0,,CHF,7.7,2022-12-10,Processed,Credit,,Cash,1 Snack II
1099526134393,24647-13193-3,18,2022-12-10,6.0,,CHF,7.7,2022-12-10,Processed,Credit,,Cash,"1 Gipfel, 1 Kaffee"
1099526134397,24647-13194-3,18,2022-12-10,4.0,,CHF,7.7,2022-12-10,Processed,Credit,68222522120,Credit/Debit,1 Kaffee
1099526134403,24647-13195-3,18,2022-12-10,6.0,,CHF,7.7,2022-12-10,Processed,Credit,24736162320,Credit/Debit,"1 Kaffee, 1 Gipfel"
1099526134406,24647-13196-3,18,2022-12-10,14.0,,CHF,7.7,2022-12-10,Processed,Credit,,Cash,1 Küche offen
1099526134477,30954-2276-3,15,2022-12-10,15.0,,CHF,7.7,2022-12-10,Processed,Credit,,Cash,1 Personal Combo
1099526134962,30954-2277-3,15,2022-12-10,5.0,,CHF,7.7,2022-12-10,Processed,Credit,1563-581000000,Cashless Prepaid,1 Küche offen
1099526135317,24648-12470-3,16,2022-12-10,6.0,,CHF,7.7,2022-12-10,Processed,Credit,46016196320,Credit/Debit,"1 Snack II, 1 Kaffee"
1099526135318,24648-12471-3,16,2022-12-10,4.0,,CHF,7.7,2022-12-10,Processed,Credit,,Cash,1 Kaffee
1099526135421,24647-13197-3,18,2022-12-10,4.0,,CHF,7.7,2022-12-10,Processed,Credit,95141362320,Credit/Debit,1 Schokolade/Ovi
1099526135752,24647-13199-2,18,2022-12-10,57.0,,CHF,,2022-12-10,Processed,Debit,,Cash,CASH_WITHDRAW Abschöpfen
1099526135784,24648-12473-2,16,2022-12-10,12.0,,CHF,,2022-12-10,Processed,Debit,,Cash,CASH_WITHDRAW Post/Bank
