"id";"parentLogId";"desc";"createDate";"updateStatusDate";"status"
"21554236";"21556157";"GL Export - initiator job";"25.01.2024 09:00:14";"2024-01-25";"Partial Success"
"21556833";"21556814";"GL Export - worker Job";"25.01.2024 09:02:15";"2024-01-25";"Partial Success"
"21556832";"21556814";"GL Export - worker Job";"25.01.2024 09:02:15";"2024-01-25";"Partial Success"
"21556831";"21556814";"GL Export - worker Job";"25.01.2024 09:02:15";"2024-01-25";"Partial Success"
"21556830";"21556814";"GL Export - worker Job";"25.01.2024 09:02:15";"2024-01-25";"Partial Success"
"21556829";"21556814";"GL Export - worker Job";"25.01.2024 09:02:15";"2024-01-25";"Partial Success"
"21556828";"21556814";"GL Export - worker Job";"25.01.2024 09:02:15";"2024-01-25";"Partial Success"
"21556826";"21556814";"GL Export - worker Job";"25.01.2024 09:02:15";"2024-01-25";"Partial Success"
"21556825";"21556814";"GL Export - worker Job";"25.01.2024 09:02:15";"2024-01-25";"Partial Success"
"21556824";"21556814";"GL Export - worker Job";"25.01.2024 09:02:15";"2024-01-25";"Partial Success"
