"id";"parentLogId";"status";"desc";"createDate";"updateStatusDate"
"21551487";"21548160";"Partial Success";"GL Export - initiator job";"24.01.2024 09:00:18";"2024-01-24"
"21548346";"21548320";"Partial Success";"GL Export - worker Job";"24.01.2024 09:01:06";"2024-01-24"
"21548337";"21548320";"Partial Success";"GL Export - worker Job";"24.01.2024 09:01:06";"2024-01-24"
"21548338";"21548320";"Partial Success";"GL Export - worker Job";"24.01.2024 09:01:06";"2024-01-24"
"21548339";"21548320";"Partial Success";"GL Export - worker Job";"24.01.2024 09:01:06";"2024-01-24"
"21548340";"21548320";"Partial Success";"GL Export - worker Job";"24.01.2024 09:01:06";"2024-01-24"
"21548341";"21548320";"Partial Success";"GL Export - worker Job";"24.01.2024 09:01:06";"2024-01-24"
"21548342";"21548320";"Partial Success";"GL Export - worker Job";"24.01.2024 09:01:06";"2024-01-24"
"21548343";"21548320";"Partial Success";"GL Export - worker Job";"24.01.2024 09:01:06";"2024-01-24"
"21548344";"21548320";"Partial Success";"GL Export - worker Job";"24.01.2024 09:01:06";"2024-01-24"
