"id";"parentLogId";"desc";"createDate";"updateStatusDate";"status"
"21825092";;"GL Export Coordinator Job plan";"02.02.2024 07:12:42";"2024-02-02";"Failed"
"21825093";"21923101";"GL Export - monitoring Job";"02.02.2024 07:17:38";"2024-02-02";"Success"
"21825094";"21825093";"GL Export - worker Job";"02.02.2024 07:17:38";"2024-02-02";"Success"
"21825113";"21825093";"GL Export - worker Job";"02.02.2024 07:17:39";"2024-02-02";"Success"
"21825112";"21825093";"GL Export - worker Job";"02.02.2024 07:17:39";"2024-02-02";"Success"
"21825111";"21825093";"GL Export - worker Job";"02.02.2024 07:17:39";"2024-02-02";"Success"
"21825110";"21825093";"GL Export - worker Job";"02.02.2024 07:17:39";"2024-02-02";"Success"
"21825108";"21825093";"GL Export - worker Job";"02.02.2024 07:17:39";"2024-02-02";"Success"
"21825107";"21825093";"GL Export - worker Job";"02.02.2024 07:17:39";"2024-02-02";"Success"
"21825106";"21825093";"GL Export - worker Job";"02.02.2024 07:17:39";"2024-02-02";"Success"
"21825105";"21825093";"GL Export - worker Job";"02.02.2024 07:17:39";"2024-02-02";"Success"
"21825104";"21825093";"GL Export - worker Job";"02.02.2024 07:17:39";"2024-02-02";"Success"
"21825109";"21825093";"GL Export - worker Job";"02.02.2024 07:17:39";"2024-02-02";"Success"
"21825102";"21825093";"GL Export - worker Job";"02.02.2024 07:17:39";"2024-02-02";"Success"
"21825101";"21825093";"GL Export - worker Job";"02.02.2024 07:17:39";"2024-02-02";"Success"
"21825100";"21825093";"GL Export - worker Job";"02.02.2024 07:17:39";"2024-02-02";"Success"
"21825099";"21825093";"GL Export - worker Job";"02.02.2024 07:17:39";"2024-02-02";"Success"
"21825098";"21825093";"GL Export - worker Job";"02.02.2024 07:17:39";"2024-02-02";"Success"
"21825097";"21825093";"GL Export - worker Job";"02.02.2024 07:17:39";"2024-02-02";"Success"
"21825096";"21825093";"GL Export - worker Job";"02.02.2024 07:17:39";"2024-02-02";"Success"
"21825095";"21825093";"GL Export - worker Job";"02.02.2024 07:17:39";"2024-02-02";"Success"
"21825103";"21825093";"GL Export - worker Job";"02.02.2024 07:17:39";"2024-02-02";"Success"
"21825121";"21825093";"GL Export - worker Job";"02.02.2024 07:17:40";"2024-02-02";"Success"
"21825120";"21825093";"GL Export - worker Job";"02.02.2024 07:17:40";"2024-02-02";"Success"
"21825119";"21825093";"GL Export - worker Job";"02.02.2024 07:17:40";"2024-02-02";"Success"
"21825118";"21825093";"GL Export - worker Job";"02.02.2024 07:17:40";"2024-02-02";"Success"
"21825115";"21825093";"GL Export - worker Job";"02.02.2024 07:17:40";"2024-02-02";"Success"
"21825116";"21825093";"GL Export - worker Job";"02.02.2024 07:17:40";"2024-02-02";"Success"
"21825114";"21825093";"GL Export - worker Job";"02.02.2024 07:17:40";"2024-02-02";"Success"
"21825117";"21825093";"GL Export - worker Job";"02.02.2024 07:17:40";"2024-02-02";"Success"
"21825122";"21825093";"GL Export - worker Job";"02.02.2024 07:17:41";"2024-02-02";"Success"
"21825123";"21825093";"GL Export - worker Job";"02.02.2024 07:17:41";"2024-02-02";"Success"
"21825184";"21937166";"GL Export Coordinator Job plan";"02.02.2024 09:00:00";"2024-02-02";"Unscheduled"
"21825265";"21937166";"GL Export Coordinator Job plan";"02.02.2024 10:00:00";"2024-02-02";"Unscheduled"
"21825404";"21937166";"GL Export Coordinator Job plan";"02.02.2024 11:30:00";"2024-02-02";"Unscheduled"
