"date","time","processFormat","storeDocIndex","storeDataFiles","storeImportFile","testOnly","isError","isWarning","defaultDocDate","internalBatchId","indexFileName","indexEntriesFound","indexFileSize","unarchivedDoc","totalDocFound","totalDocArchived","totalIndexProcessed","unidentifiedDocs","totalDocsImported","totalPagesImported","totalProcessingTime","avgDocPerSec","avgPagePerSec"
"20211126","10:22:25","SPS Import - Invoice","Yes ","Yes ","No ","False","True","True","26.11.2021","34235","","0","0","0","2290","2290","0","0","2290","2290","00:10:32","0,275983","0,275983"
"20211126","10:32:58","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34236","","0","0","0","1","1","0","0","1","1","00:00:03","3","3"
"20211126","10:33:02","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34237","","0","0","0","1","1","0","0","1","1","00:00:03","3","3"
"20211126","10:33:06","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34238","","0","0","0","1","1","0","0","1","1","00:00:02","2","2"
"20211126","10:33:09","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34239","","0","0","0","1","1","0","0","1","1","00:00:03","3","3"
"20211126","10:33:13","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34240","","0","0","0","1","1","0","0","1","1","00:00:03","3","3"
"20211126","10:33:17","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34241","","0","0","0","1","1","0","0","1","1","00:00:03","3","3"
"20211126","10:33:21","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34242","","0","0","0","1","1","0","0","1","1","00:00:02","2","2"
"20211126","10:33:24","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34243","","0","0","0","1","1","0","0","1","1","00:00:03","3","3"
"20211126","10:33:28","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34244","","0","0","0","1","1","0","0","1","1","00:00:03","3","3"
"20211126","10:33:32","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34245","","0","0","0","1","1","0","0","1","1","00:00:02","2","2"
"20211126","10:33:35","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34246","","0","0","0","1","1","0","0","1","1","00:00:03","3","3"
"20211126","10:33:39","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34247","","0","0","0","1","1","0","0","1","1","00:00:02","2","2"
"20211126","10:33:42","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34248","","0","0","0","1","1","0","0","1","1","00:00:03","3","3"
"20211126","10:33:46","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34249","","0","0","0","1","1","0","0","1","1","00:00:03","3","3"
"20211126","10:33:50","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34250","","0","0","0","1","1","0","0","1","1","00:00:02","2","2"
"20211126","10:33:53","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34251","","0","0","0","1","1","0","0","1","1","00:00:03","3","3"
"20211126","10:33:57","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34252","","0","0","0","1","1","0","0","1","1","00:00:02","2","2"
"20211126","10:34:00","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34253","","0","0","0","1","1","0","0","1","1","00:00:03","3","3"
"20211126","10:34:04","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34254","","0","0","0","1","1","0","0","1","1","00:00:02","2","2"
"20211126","10:34:07","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34255","","0","0","0","1","1","0","0","1","1","00:00:03","3","3"
"20211126","10:34:11","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34256","","0","0","0","1","1","0","0","1","1","00:00:02","2","2"
"20211126","10:34:14","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34257","","0","0","0","1","1","0","0","1","1","00:00:03","3","3"
"20211126","10:34:18","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34258","","0","0","0","1","1","0","0","1","1","00:00:03","3","3"
"20211126","10:34:22","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34259","","0","0","0","1","1","0","0","1","1","00:00:02","2","2"
"20211126","10:34:25","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34260","","0","0","0","1","1","0","0","1","1","00:00:03","3","3"
"20211126","10:34:29","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34261","","0","0","0","1","1","0","0","1","1","00:00:02","2","2"
"20211126","10:34:32","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34262","","0","0","0","1","1","0","0","1","1","00:00:03","3","3"
"20211126","10:34:36","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34263","","0","0","0","1","1","0","0","1","1","00:00:02","2","2"
"20211126","10:34:39","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34264","","0","0","0","1","1","0","0","1","1","00:00:03","3","3"
"20211126","10:34:43","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34265","","0","0","0","1","1","0","0","1","1","00:00:03","3","3"
"20211126","10:34:47","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34266","","0","0","0","1","1","0","0","1","1","00:00:02","2","2"
"20211126","10:34:50","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34267","","0","0","0","1","1","0","0","1","1","00:00:03","3","3"
"20211126","10:34:54","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34268","","0","0","0","1","1","0","0","1","1","00:00:03","3","3"
"20211126","10:34:57","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34269","","0","0","0","1","1","0","0","1","1","00:00:03","3","3"
"20211126","10:35:01","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34270","","0","0","0","1","1","0","0","1","1","00:00:03","3","3"
"20211126","10:35:05","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34271","","0","0","0","1","1","0","0","1","1","00:00:02","2","2"
"20211126","10:35:08","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34272","","0","0","0","1","1","0","0","1","1","00:00:03","3","3"
"20211126","10:35:12","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34273","","0","0","0","1","1","0","0","1","1","00:00:02","2","2"
"20211126","10:35:15","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34274","","0","0","0","1","1","0","0","1","1","00:00:03","3","3"
"20211126","10:35:19","SPS Import - Invoice","Yes ","Yes ","No ","False","False","True","26.11.2021","34275","","0","0","0","1","1","0","0","1","1","00:00:02","2","2"
